简名(城市/机场名),全名,IATA,ICAO,坐标
阿坝/红原,阿坝红原机场,AHJ,ZUHY,"32.5292000,102.3570000"
阿尔山/伊尔施,阿尔山伊尔施机场,YIE,ZHYC,"47.3100000,119.9110000"
阿克苏/红旗坡,阿克苏红旗坡机场,AKU,ZWAK,"41.2625000,80.2916667"
阿拉尔/塔里木,阿拉尔塔里木机场,ACF,ZWAL,"40.4293000, 81.2509000"
阿拉善右旗/巴丹吉林,阿拉善右旗巴丹吉林机场,RHT,ZBAR,"39.2133000,101.6440000"
阿拉善左旗/巴彦浩特,阿拉善左旗巴彦浩特机场,AXF,ZBAL,"38.8228600,105.6261600"
阿勒泰/雪都,阿勒泰雪都机场,AAT,ZWAT,"47.7503611,88.0844444"
阿里/昆莎,阿里昆莎机场,NGQ,ZUAL,"32.1142028,80.0443278"
阿里/普兰,阿里普兰机场,APJ,ZUPL,"30.3926000,81.1433000"
安康/富强,安康富强机场,AKA,ZLAK,"32.7080556,108.9311111"
安庆/天柱山,安庆天柱山机场,AQG,ZSAQ,"30.5822222,117.0502778"
安顺/黄果树,安顺黄果树机场,AVA,ZUAS,"26.2605556,105.8730556"
安阳/红旗渠,安阳红旗渠机场,HQQ,ZHQQ,"35.8708333,114.4619444"
鞍山/腾鳌,鞍山腾鳌机场,AOG,ZYAS,"41.1047222,122.8558333"
巴彦淖尔/天吉泰,巴彦淖尔天吉泰机场,RLK,ZBYZ,"40.9263889,107.7388889"
巴中/恩阳,巴中恩阳机场,BZX,ZUBZ,"30.7000000,106.6330000"
白城/长安,白城长安机场,DBC,ZYBA,"45.5052778,123.0191667"
白山/长白山,白山长白山机场,NBS,ZYBS,"42.0650000,127.6050000"
百色/巴马,百色巴马机场,AEB,ZGBS,"23.7194444,106.9591667"
包头/东河,包头东河机场,BAV,ZBOW,"40.5597222,109.9966667"
保山/云瑞,保山云瑞机场,BSD,ZPBS,"25.0533333,99.1683333"
北海/福成,北海福成机场,BHY,ZGBH,"21.5394444,109.2938889"
北京/大兴,北京大兴国际机场,PKX,ZBAD,"39.5119440,116.4105560"
北京/首都,北京首都国际机场,PEK,ZBAA,"40.0800000,116.5844444"
毕节/飞雄,毕节飞雄机场,BFJ,ZUBJ,"27.3002778,105.3013889"
博乐/阿拉山口,博乐阿拉山口机场,BPL,ZWBL,"44.8950000,82.2997222"
布尔津/喀纳斯,布尔津喀纳斯机场,KJI,ZWKN,"48.2211111,86.9980556"
沧源/佤山,沧源佤山机场,CWJ,ZPCW,"23.2765200,99.3703900"
昌都/邦达,昌都邦达机场,BPX,ZUBD,"30.5536111,97.1086111"
常德/桃花源,常德桃花源机场,CGD,ZGCD,"28.9189000,111.6400000"
常州/奔牛,常州奔牛国际机场,CZX,ZSCG,"31.9192760,119.7760300"
朝阳,朝阳机场,CHG,ZYCY,"41.5380556,120.4350000"
郴州/北湖,郴州北湖机场,HCZ,ZGCZ,"25.7505556,112.8458333"
成都/双流,成都双流国际机场,CTU,ZUUU,"30.5800000,103.9483330"
成都/天府,成都天府国际机场,TFU,ZUTF,"30.3190000,104.4450000"
承德/普宁,承德普宁机场,CDE,ZBCD,"41.1219420,118.0724880"
池州/九华山,池州九华山机场,JUH,ZSJH,"30.7402778,117.6866667"
赤峰/玉龙,赤峰玉龙机场,CIF,ZBCF,"42.1655600,118.8436100"
达州/金垭,达州金垭机场,DZH,ZUDA,"31.0480000,107.4360000"
大理/凤仪,大理凤仪机场,DLU,ZPDL,"25.6511111,100.3183333"
大连/周水子,大连周水子国际机场,DLC,ZYTL,"38.9655556,121.5383333"
大庆/萨尔图,大庆萨尔图机场,DQA,ZYDQ,"46.7479000,125.1369000"
大同/云冈,大同云冈机场,DAT,ZBDT,"40.0602778,113.4819444"
大兴安岭/鄂伦春,大兴安岭鄂伦春机场,JGD,ZYJD,"50.3713890,124.1175000"
丹东/浪头,丹东浪头机场,DDG,ZYDD,"40.0257500,124.2869167"
稻城/亚丁,稻城亚丁机场,DCY,ZUDC,"29.3166381,100.0602148"
德宏/芒市,德宏芒市国际机场,LUM,ZPMS,"24.4043889,98.5330833"
迪庆/香格里拉,迪庆香格里拉机场,DIG,ZPDQ,"27.7933333,99.6773333"
东营/胜利,东营胜利机场,DOY,ZSDY,"37.5102778,118.7844444"
敦煌/莫高,敦煌莫高国际机场,DNH,ZLDH,"40.1636111,94.8002778"
额济纳旗/桃来,额济纳旗桃来机场,EJN,ZBEN,"42.0148800,101.0019500"
鄂尔多斯/伊金霍洛,鄂尔多斯伊金霍洛国际机场,DSN,ZBDS,"39.4938889,109.8622222"
鄂州/花湖,鄂州花湖机场,EHU,ZHEC,"30.3427778,115.0297222"
恩施/许家坪,恩施许家坪机场,ENH,ZHES,"30.3202778,109.4850000"
二连浩特/赛乌素,二连浩特赛乌素机场,ERL,ZBER,"43.4266667,112.0983333"
佛山/沙堤,佛山沙堤机场,FUO,ZGFS,"23.0825000,113.0708333"
福州/长乐,福州长乐国际机场,FOC,ZSFZ,"25.9350000,119.6633333"
抚远/东极,抚远东极机场,FYJ,ZYFY,"48.1994944,134.3664472"
阜阳,阜阳机场,FUG,ZSFY,"32.8819444,115.7344444"
富蕴/可可托海,富蕴可可托海机场,FYN,ZWFY,"46.8039000,89.5026000"
甘南/夏河,甘南夏河机场,GXH,ZLXH,"34.8202863,102.6200293"
甘孜/格萨尔,甘孜格萨尔机场,GZG,ZUGZ,"31.7550000,99.5536110"
甘孜/康定,甘孜康定机场,KGT,ZUKD,"30.1575000,101.7347222"
赣州/黄金,赣州黄金机场,KOW,ZSGZ,"25.8516667,114.7766667"
格尔木,格尔木机场,GOQ,ZLGM,"36.4006111,94.7861111"
固原/六盘山,固原六盘山机场,GYU,ZLGY,"36.0761000,106.2180000"
广元/盘龙,广元盘龙机场,GYS,ZUGU,"32.3900000,105.6933333"
广州/白云,广州白云国际机场,CAN,ZGGG,"23.3924361,113.2987861"
贵阳/龙洞堡,贵阳龙洞堡国际机场,KWE,ZUGY,"26.5386111,106.8008333"
桂林/两江,桂林两江国际机场,KWL,ZGKL,"25.2180556,110.0391667"
果洛/玛沁,果洛玛沁机场,GMQ,ZLGL,"34.4213000,100.3016000"
哈尔滨/太平,哈尔滨太平国际机场,HRB,ZYHB,"45.6234028,126.2503278"
哈密/伊州,哈密伊州机场,HMI,ZWHM,"42.8425000,93.6694444"
海北/祁连,海北祁连机场,HBQ,ZLHB,"38.0120000,100.6440000"
海口/美兰,海口美兰国际机场,HAK,ZJHK,"19.9347222,110.4588889"
海西/德令哈,海西德令哈机场,HXD,ZLDL,"37.1250000,97.2686111"
海西/花土沟,海西花土沟机场,HTT,ZLHX,"38.2033333,90.8416667"
邯郸,邯郸机场,HDG,ZBHD,"36.5238889,114.4300000"
汉中/城固,汉中城固机场,HZG,ZLHZ,"33.1366667,107.2022222"
杭州/萧山,杭州萧山国际机场,HGH,ZSHC,"30.2294444,120.4344444"
合肥/新桥,合肥新桥国际机场,HFE,ZSOF,"31.9894000,116.9641000"
和静/巴音布鲁克,和静巴音布鲁克机场,HJB,ZWHJ,"42.9766000,83.9729000"
和田/昆冈,和田昆冈机场,HTN,ZWTN,"37.0386111,79.8650000"
河池/金城江,河池金城江机场,HCJ,ZGHC,"24.7839000,107.7000000"
菏泽/牡丹,菏泽牡丹机场,HZA,ZSHZ,"35.2118333,115.7368889"
黑河/瑷珲,黑河瑷珲机场,HEK,ZYHE,"50.1722222,127.3086111"
衡阳/南岳,衡阳南岳机场,HNY,ZGHY,"26.7239000,112.6180000"
呼和浩特/白塔,呼和浩特白塔国际机场,HET,ZBHH,"40.8514222,111.8241028"
呼伦贝尔/海拉尔,呼伦贝尔海拉尔机场,HLD,ZBLA,"49.2050000,119.8250000"
怀化/芷江,怀化芷江机场,HJJ,ZGCJ,"27.4413889,109.6997222"
淮安/涟水,淮安涟水国际机场,HIA,ZSSH,"33.7772222,119.1477778"
黄山/屯溪,黄山屯溪国际机场,TXN,ZSTX,"29.7300000,118.2527778"
惠州/平潭,惠州平潭机场,HUZ,ZGHZ,"23.0483333,114.6002778"
霍林郭勒/霍林河,霍林郭勒霍林河机场,HUO,ZBHZ,"45.4867300,119.4085100"
鸡西/兴凯湖,鸡西兴凯湖机场,JXA,ZYJX,"45.2925000,131.1941667"
吉安/井冈山,吉安井冈山机场,JGS,ZSGS,"26.8575000,114.7372222"
济南/遥墙,济南遥墙国际机场,TNA,ZSJN,"36.8572222,117.2161111"
济宁/大安,济宁大安机场,JNG,ZSJG,"35.2927778,116.3466667"
佳木斯/东郊,佳木斯东郊机场,JMU,ZYJM,"46.8433333,130.4652778"
嘉峪关/酒泉,嘉峪关酒泉机场,JGN,ZLJQ,"39.8596667,98.3383333"
建三江/湿地,建三江湿地机场,JSJ,ZYJS,"47.1100000,132.6602780"
揭阳/潮汕,揭阳潮汕国际机场,SWA,ZGOW,"23.5529700,116.5058900"
金昌/金川,金昌金川机场,JIC,ZLJC,"38.5419000,102.3480000"
锦州/锦州湾,锦州锦州湾机场,JNZ,ZYJZ,"40.9300000,121.2800000"
荆州/沙市,荆州沙市机场,SHS,ZHJZ,"30.3222000,112.2790000"
景德镇/罗家,景德镇罗家机场,JDZ,ZSJD,"29.3386111,117.1758333"
九江/庐山,九江庐山机场,JIU,ZSJJ,"29.4769444,115.8011111"
九寨/黄龙,九寨黄龙机场,JZH,ZUJZ,"32.8541667,103.6852778"
喀什/徕宁,喀什徕宁国际机场,KHG,ZWSH,"39.5430556,76.0200000"
凯里/黄平,凯里黄平机场,KJH,ZUKJ,"26.9741667,107.9805556"
克拉玛依/古海,克拉玛依古海机场,KRY,ZWKM,"45.4663889,84.9525000"
库车/龟兹,库车龟兹机场,KCA,ZWKC,"41.7180556,82.9869444"
库尔勒/梨城,库尔勒梨城机场,KRL,ZWKL,"41.6163889,86.1430556"
昆明/长水,昆明长水国际机场,KMG,ZPPP,"25.1019444,102.9291667"
拉萨/贡嘎,拉萨贡嘎机场,LXA,ZULS,"29.2977778,90.9119444"
兰州/中川,兰州中川国际机场,LHW,ZLLL,"36.5075000,103.6194444"
澜沧/景迈,澜沧景迈机场,JMJ,ZPJM,"22.4158333,99.7863889"
阆中/古城,阆中古城机场,LZG,ZULA,"31.5020563,106.0344844"
丽江/三义,丽江三义国际机场,LJG,ZPLJ,"26.6791667,100.2458333"
丽水,丽水机场,LIJ,ZSLI,"28.4680556,119.9230556"
连城/冠豸山,连城冠豸山机场,LCX,ZSLO,"25.6741667,116.7463889"
连云港/花果山,连云港花果山机场,LYG,ZSLG,"34.5716667,118.8736111"
林芝/米林,林芝米林机场,LZY,ZUNZ,"29.3033333,94.3352778"
临沧/博尚,临沧博尚机场,LNJ,ZPLC,"23.7383333,100.0250000"
临汾/尧都,临汾尧都机场,LFQ,ZBLF,"36.1311111,111.6375000"
临沂/启阳,临沂启阳国际机场,LYI,ZSLY,"35.0461111,118.4116667"
柳州/白莲,柳州白莲机场,LZH,ZGZH,"24.2075000,109.3911111"
六盘水/月照,六盘水月照机场,LPF,ZUPS,"26.6064000,104.9790000"
陇南/成县,陇南成县机场,LNL,ZLLN,"33.7880000,105.7970000"
泸州/云龙,泸州云龙机场,LZO,ZULZ,"29.0300000,105.4700000"
洛阳/北郊,洛阳北郊机场,LYA,ZHLY,"34.7412778,112.3878333"
吕梁/大武,吕梁大武机场,LLV,ZBLL,"37.6833333,111.1427778"
满洲里/西郊,满洲里西郊机场,NZH,ZBMZ,"49.5666667,117.3300000"
梅州/梅县,梅州梅县机场,MXZ,ZGMX,"24.2666000,116.1041000"
绵阳/南郊,绵阳南郊机场,MIG,ZUMY,"31.4300000,104.7397222"
漠河/古莲,漠河古莲机场,OHE,ZYMH,"52.9211111,122.4205556"
牡丹江/海浪,牡丹江海浪国际机场,MDG,ZYMD,"44.5241667,129.5688889"
南昌/昌北,南昌昌北国际机场,KHN,ZSCN,"28.8650000,115.9000000"
南充/高坪,南充高坪机场,NAO,ZUNC,"30.7938889,106.1597222"
南京/禄口,南京禄口国际机场,NKG,ZSNJ,"31.7422222,118.8619444"
南宁/吴圩,南宁吴圩国际机场,NNG,ZGNN,"22.6082667,108.1724417"
南通/兴东,南通兴东国际机场,NTG,ZSNT,"32.0708333,120.9755556"
南阳/姜营,南阳姜营机场,NNY,ZHNY,"32.9808333,112.6152778"
宁波/栎社,宁波栎社国际机场,NGB,ZSNB,"29.8266667,121.4619444"
宁蒗/泸沽湖,宁蒗泸沽湖机场,NLH,ZPNL,"27.5438056,100.7573889"
攀枝花/保安营,攀枝花保安营机场,PZI,ZUZH,"26.5423139,101.7985194"
普洱/思茅,普洱思茅机场,SYM,ZPSM,"22.7933000,100.9590000"
齐齐哈尔/三家子,齐齐哈尔三家子机场,NDG,ZYQQ,"47.2397222,123.9180556"
奇台/江布拉克,奇台江布拉克机场,JBK,ZWQT,"44.1830000,89.5945000"
黔东南/黎平,黔东南黎平机场,HZH,ZUNP,"26.3227778,109.1516667"
黔江/武陵山,黔江武陵山机场,JIQ,ZUQJ,"29.5175000,108.8291667"
黔南/荔波,黔南荔波机场,LLB,ZULB,"25.4525000,107.9616667"
且末/玉都,且末玉都机场,IQM,ZWCM,"38.1494444,85.5327778"
秦皇岛/北戴河,秦皇岛北戴河机场,BPE,ZBDH,"39.6625010,119.0575570"
青岛/胶东,青岛胶东国际机场,TAO,ZSQD,"36.2661111,120.3744444"
庆阳,庆阳机场,IQN,ZLQY,"35.7997222,107.6027778"
琼海/博鳌,琼海博鳌机场,BAR,ZJQH,"19.1405556,110.4588889"
衢州,衢州机场,JUZ,ZSJU,"28.9658333,118.8994444"
泉州/晋江,泉州晋江国际机场,JJN,ZSQZ,"24.7988889,118.5894444"
日喀则/定日,日喀则定日机场,DDR,ZUDR,"28.6044400,86.8009900"
日喀则/和平,日喀则和平机场,RKZ,ZURK,"29.3516667,89.3069444"
日照/山字河,日照山字河机场,RIZ,ZSRZ,"35.3997222,119.3166667"
若羌/楼兰,若羌楼兰机场,RQA,ZWRQ,"38.9730000,88.0120000"
三明/沙县,三明沙县机场,SQJ,ZSSM,"26.4280556,117.8450000"
三沙/永兴,三沙永兴机场,XYI,ZUYB,"16.8328000,112.3440000"
三亚/凤凰,三亚凤凰国际机场,SYX,ZJSY,"18.3028972,109.4122722"
莎车/叶尔羌,莎车叶尔羌机场,QSZ,ZWSC,"38.2258000,77.0403000"
厦门/高崎,厦门高崎国际机场,XMN,ZSAM,"24.5441667,118.1277778"
山南/隆子,山南隆子机场,LGZ,ZUSH,"28.4225000,92.3444444"
上海/虹桥,上海虹桥国际机场,SHA,ZSSS,"31.1980560,121.3363890"
上海/浦东,上海浦东国际机场,PVG,ZSPD,"31.1433330,121.8052780"
上饶/三清山,上饶三清山机场,SQD,ZSSR,"28.3802778,117.9613889"
韶关/丹霞,韶关丹霞机场,HSC,ZGSG,"24.9786111,113.4211111"
邵阳/武冈,邵阳武冈机场,WGN,ZGSY,"26.8020000,110.6420000"
深圳/宝安,深圳宝安国际机场,SZX,ZGSZ,"22.6394444,113.8108333"
神农架/红坪,神农架红坪机场,HPG,ZHSN,"31.6336111,110.3380556"
沈阳/桃仙,沈阳桃仙国际机场,SHE,ZYTX,"41.6400000,123.4836111"
十堰/武当山,十堰武当山机场,WDS,ZHSY,"32.5916667,110.9077778"
石河子/花园,石河子花园机场,SHF,ZWHZ,"44.2416667,85.8911111"
石家庄/正定,石家庄正定国际机场,SJW,ZBSJ,"38.2808333,114.6966667"
朔州/滋润,朔州滋润机场,SZH,ZBSG,"39.4747222,112.5969444"
松原/查干湖,松原查干湖机场,YSQ,ZWYT,"44.9381140,124.5501780"
绥芬河/东宁,绥芬河东宁机场,HSF,ZYSD,"44.456901,130.847785"
塔城/千泉,塔城千泉机场,TCG,ZWTC,"46.6725000,83.3408333"
塔什库尔干/红其拉甫,塔什库尔干红其拉甫机场,HQL,ZWTK,"37.6627100,75.2922700"
台州/路桥,台州路桥机场,HYN,ZSLQ,"28.5622222,121.4286111"
太原/武宿,太原武宿国际机场,TYN,ZBYN,"37.7469444,112.6283333"
唐山/三女河,唐山三女河机场,TVS,ZBSN,"39.7252778,117.9933333"
腾冲/驼峰,腾冲驼峰机场,TCZ,ZPTC,"24.9401490,98.4851360"
天津/滨海,天津滨海国际机场,TSN,ZBTJ,"39.1244444,117.3461111"
天水/麦积山,天水麦积山机场,THQ,ZLTS,"34.5583333,105.8611111"
通化/三源浦,通化三源浦机场,TNH,ZYTN,"42.2538889,125.7038889"
通辽,通辽机场,TGO,ZBTL,"43.5569000,122.2000000"
铜仁/凤凰,铜仁凤凰机场,TEN,ZUTR,"27.8833333,109.3088889"
图木舒克/唐王城,图木舒克唐王城机场,TWC,ZWTS,"39.8805556,78.9900000"
吐鲁番/交河,吐鲁番交河机场,TLQ,ZWTL,"43.0303000,89.0972000"
万州/五桥,万州五桥机场,WXN,ZUWX,"30.7977778,108.4313889"
威海/大水泊,威海大水泊国际机场,WEH,ZSWH,"37.1869444,122.2288889"
潍坊,潍坊机场,WEF,ZSWF,"36.6467000,119.1180000"
温州/龙湾,温州龙湾国际机场,WNZ,ZSWZ,"27.9119444,120.8519444"
文山/砚山,文山砚山机场,WNH,ZPWS,"23.5558333,104.3250000"
乌海,乌海机场,WUA,ZBUH,"39.7919444,106.8033333"
乌兰察布/集宁,乌兰察布集宁机场,UCB,ZBWL,"41.1298000,113.1080200"
乌兰浩特/义勒力特,乌兰浩特义勒力特机场,HLH,ZBUL,"46.1953000,122.0080000"
乌鲁木齐/天山,乌鲁木齐地窝堡国际机场,URC,ZWWW,"43.9072222,87.4741667"
无锡/硕放,无锡硕放国际机场,WUX,ZSWX,"31.4944444,120.4294444"
芜湖/宣州,芜湖宣州机场,WHA,ZSWA,"31.1027778,118.6638889"
梧州/西江,梧州西江机场,WUZ,ZGWZ,"23.4013889,111.0986111"
五大连池/德都,五大连池德都机场,DTU,ZYDU,"48.4450000,126.1330000"
武汉/天河,武汉天河国际机场,WUH,ZHHH,"30.7836111,114.2080556"
武夷山,武夷山机场,WUS,ZSWY,"27.7008333,118.0002778"
西安/咸阳,西安咸阳国际机场,XIY,ZLXY,"34.4469444,108.7513889"
西昌/青山,西昌青山机场,XIC,ZUXC,"27.9891667,102.1844444"
西宁/曹家堡,西宁曹家堡国际机场,XNN,ZLXN,"36.5275000,102.0427778"
西双版纳/嘎洒,西双版纳嘎洒国际机场,JHG,ZPJH,"21.9739139,100.7596111"
锡林浩特,锡林浩特机场,XIL,ZGXN,"43.9167000,115.9640000"
湘西/边城,湘西边城机场,DXJ,ZGXX,"28.4972000,109.5218000"
襄阳/刘集,襄阳刘集机场,XFN,ZHXF,"32.1500000,112.2905556"
忻州/五台山,忻州五台山机场,WUT,ZBXZ,"38.5991667,112.9677778"
新源/那拉提,新源那拉提机场,NLT,ZWNL,"43.4330556,83.3802778"
信阳/明港,信阳明港机场,XAI,ZHXY,"32.5413889,114.0777778"
邢台/褡裢,邢台褡裢机场,XNT,ZBXT,"36.8827778,114.4291667"
兴义/万峰林,兴义万峰林机场,ACX,ZUYI,"25.0883333,104.9586111"
徐州/观音,徐州观音国际机场,XUZ,ZSXZ,"34.0590556,117.5552778"
烟台/蓬莱,烟台蓬莱国际机场,YNT,ZSYN,"37.6600900,120.9785700"
延安/南泥湾,延安南泥湾机场,ENY,ZLYA,"36.4763889,109.4652778"
延吉/朝阳川,延吉朝阳川国际机场,YNJ,ZSYT,"42.8827778,129.4511111"
盐城/南洋,盐城南洋国际机场,YNZ,ZYSQ,"33.4258333,120.2030556"
扬州/泰州,扬州泰州国际机场,YTY,ZPYM,"32.5616667,119.7150000"
伊春/林都,伊春林都机场,LDS,ZYLD,"47.7519444,129.0188889"
伊犁/伊宁,伊犁伊宁机场,YIN,ZSYW,"43.9558333,81.3302778"
宜宾/五粮液,宜宾五粮液机场,YBP,ZBYC,"28.8580000,104.5250000"
宜昌/三峡,宜昌三峡机场,YIH,ZWYN,"30.5564722,111.4799444"
宜春/明月山,宜春明月山机场,YIC,ZBES,"27.8033333,114.3080556"
义乌,义乌机场,YIW,ZYYK,"29.3447222,120.0322222"
银川/河东,银川河东国际机场,INC,ZLIC,"38.3216667,106.3925000"
营口/兰旗,营口兰旗机场,YKH,ZGYL,"40.5408333,122.3572222"
永州/零陵,永州零陵机场,LLF,ZGLG,"26.3455556,111.6122222"
于田/万方,于田万方机场,YTW,ZSYA,"36.8108330,81.7808330"
榆林/榆阳,榆林榆阳机场,UYN,ZLYL,"38.2700000,109.7300000"
玉林/福绵,玉林福绵机场,YLX,ZYYJ,"22.4334000,110.1199000"
玉树/巴塘,玉树巴塘机场,YUS,ZLYS,"32.8387000,97.0382000"
岳阳/三荷,岳阳三荷机场,YYA,ZGYY,"29.3137000,113.2818000"
运城/盐湖,运城张孝机场,YCU,ZSYC,"35.1166667,111.0396167"
扎兰屯/成吉思汗,扎兰屯成吉思汗机场,NZL,ZBZL,"47.8658333,122.7675000"
湛江/吴川,湛江吴川国际机场,ZHA,ZGZJ,"21.2175000,110.3577778"
张家界/荷花,张家界荷花国际机场,DYG,ZGDY,"29.1030556,110.4433333"
张家口/宁远,张家口宁远机场,ZQZ,ZBZJ,"40.7391667,114.9308333"
张掖/甘州,张掖甘州机场,YZY,ZLZY,"38.8019444,100.6750000"
长春/龙嘉,长春龙嘉国际机场,CGQ,ZYCC,"43.9961111,125.6852778"
长海/大长山岛,长海大长山岛机场,CNI,ZYCH,"39.2663889,122.6669444"
长沙/黄花,长沙黄花国际机场,CSX,ZGHA,"28.1966667,113.2208333"
长治/王村,长治王村机场,CIH,ZBCZ,"36.2475000,113.1260000"
昭苏/天马,昭苏天马机场,ZFL,ZWZS,"43.1075000,81.1605556"
昭通,昭通机场,ZAT,ZPZT,"27.3278333,103.7566667"
郑州/新郑,郑州新郑国际机场,CGO,ZHCC,"34.5197222,113.8408333"
中卫/沙坡头,中卫沙坡头机场,ZHY,ZLZW,"37.5727778,105.1544444"
重庆/江北,重庆江北国际机场,CKG,ZUCK,"29.7191667,106.6416667"
重庆/巫山,重庆巫山机场,WSK,ZUWS,"31.0640000,109.7060000"
重庆/仙女山,重庆仙女山机场,CQW,ZUWL,"29.4658333,107.6922222"
舟山/普陀山,舟山普陀山机场,HSN,ZSZS,"29.9341667,122.3622222"
珠海/金湾,珠海金湾机场,ZUH,ZGSD,"22.0105000,113.3749000"
遵义/茅台,遵义茅台机场,WMT,ZUMT,"27.9670000,106.4380000"
遵义/新舟,遵义新舟机场,ZYI,ZUZY,"27.8111000,107.2463000"
